reviewTitle	reviewText	reviewRating	reviewDate
100	Awesome	Great product and fast delivery	5.0 out of 5 stars	on August 3, 2018
101	Five Stars	Get r done!!	5.0 out of 5 stars	on August 2, 2018
102	Great price, convenient	Great price, will reorder	5.0 out of 5 stars	on August 2, 2018
103	Five Stars	Great product	5.0 out of 5 stars	on August 1, 2018
104	Five Stars	Best deal for the money	5.0 out of 5 stars	on August 1, 2018
105	Convenient!	Great set. Easy to use. Replace. Happy to see it on amazon!	5.0 out of 5 stars	on August 1, 2018
106	Value FILTRETE	Really pick up dust in ac strong durable does job	5.0 out of 5 stars	on July 31, 2018
107	Four Stars	Good filters and they came quickly.	4.0 out of 5 stars	on July 31, 2018
108	Five Stars	perfect fit	5.0 out of 5 stars	on July 31, 2018
109	Great price!	Great price! My husband was happy.	5.0 out of 5 stars	on July 31, 2018
110	Four Stars	I LIKED PRODUCT BUT THE PACKING RUINED SOME OF THE FILTERS...	4.0 out of 5 stars	on July 30, 2018
111	Great filter	Great filter	5.0 out of 5 stars	on July 30, 2018
112	Don’t fit.	Ordered the same size as what is in our furnace, and they do not fit at all. They say they are 14x25x1 but they are too big and do not fit. While the 14x25x1 that we have in there is just fine.Very disappointed.	1.0 out of 5 stars	on July 30, 2018
113	Five Stars	Work fine and reasonable priced	5.0 out of 5 stars	on July 30, 2018
114	Four Stars	a little snug in furnace	4.0 out of 5 stars	on July 29, 2018
115	Awesome deal!	Great deal!	5.0 out of 5 stars	on July 29, 2018
116	Use them	Well done.	5.0 out of 5 stars	on July 28, 2018
117	Good filters	Great filters for a great price.	5.0 out of 5 stars	on July 28, 2018
118	You Deserve Better Filtration.	Look, there's nothing wrong with a basic furnace filter, but you owe it to yourself to step up to a higher quality MERV 12 filter. Nordic Pure 16x25x1 MERV 12 Pleated AC Furnace Air Filter, Box of 6I switched to the Nordic Pure after realizing I needed more filtration, and reading an article on The Wirecutter recommending them.Again, the Filtrete is fine (and they make higher specced filters) I just wish I had known better before buying a year's worth of filters that I just donated.	2.0 out of 5 stars	on July 27, 2018
119	Cheap construct. Bad dimensions.	Terrible. Cheap materials. Bad dimensions. I am so disappointed in 3M. They do not fit right. I was able to jam them in but really had to bend and smash all four edges to get them to work and now the cover is bulging out. Also, the material is significantly thinner than what I had before and I am worried that they are going to get sucked in. Lame 3M!	1.0 out of 5 stars	on July 27, 2018
120	Does the job just fine.	Not much to say other then it does what it needs todo.!	5.0 out of 5 stars	on July 27, 2018
121	4 stars because it was a tighter fit than the ...	4 stars because it was a tighter fit than the home depot brand that I normally buy. I had to play with it a bit to get it to fit. Overall it does what filters do.	4.0 out of 5 stars	on July 26, 2018
122	Five Stars	Worked perfectly!!	5.0 out of 5 stars	on July 26, 2018
123	Good filter!	Great filters at a much better price than buying in a big box store. I like being able to have them on auto delivery.	5.0 out of 5 stars	on July 26, 2018
124	Four Stars	great value for the money.	4.0 out of 5 stars	on July 25, 2018
125	Good for everyone	Great price for a pleated filter 6 pack. Good enough filtration size because tighter filters bend while making your AC fan work harder.	5.0 out of 5 stars	on July 24, 2018
126	Excellent	Great filters	5.0 out of 5 stars	on July 24, 2018
127	so I’m pleased!	They filter air, and capture particles, so I’m pleased!	5.0 out of 5 stars	on July 24, 2018
128	good	Fits just right, good quality	5.0 out of 5 stars	on July 24, 2018
129	Five Stars	Great filters	5.0 out of 5 stars	on July 23, 2018
130	Five Stars	These filters work great.	5.0 out of 5 stars	on July 23, 2018
131	Good quality. Fit perfect	Use them in my upstairs AC furnace. Good quality. Fit perfect.	5.0 out of 5 stars	on July 22, 2018
132	Affordable	Affordable and works well.Packaged well.	5.0 out of 5 stars	on July 22, 2018
133	Four Stars	as expected	4.0 out of 5 stars	on July 22, 2018
134	Great valie	Great value. I just installed my first one so not able to attest to durability. But so far so good.	5.0 out of 5 stars	on July 22, 2018
135	This filter is not measured properly	Not measured correctly. Either that or the packaging is done all wrong. In any case, i had to wrestle this filter kind of into place. Folding the cardboard on it self and muscled into position. Pictured is a comparison to my last air filter which fit with no issue at all, and they are supposed to be the same size.	1.0 out of 5 stars	on July 20, 2018
136	they work	too expensive for what they are. will not buy again.	3.0 out of 5 stars	on July 19, 2018
137	Good buy	This size is hard to find in stores. Will buy again	5.0 out of 5 stars	on July 19, 2018
138	Five Stars	Came fast and great filters	5.0 out of 5 stars	on July 19, 2018
139	They are the right size	They fit my furnace, what can I say? They seem to be perfectly fine filters.	5.0 out of 5 stars	on July 18, 2018
140	Great price! The package was huge for thes filters ...	Great price! The package was huge for thes filters but the filters are a weird shape so a may have been the only box available. They were well protected when they arrroved	5.0 out of 5 stars	on July 18, 2018
141	Three Stars	They are the right size, but I haven't tried them yet.	3.0 out of 5 stars	on July 18, 2018
142	Fast shipping!!	Just as decribed!	5.0 out of 5 stars	on July 18, 2018
143	Five Stars	works fine	5.0 out of 5 stars	on July 18, 2018
144	Five Stars	excellent	5.0 out of 5 stars	on July 18, 2018
145	Great & cheapest	Great product, cheapest place to purchase these filters.	5.0 out of 5 stars	on July 18, 2018
146	Five Stars	mom says they work as they are supposed to.	5.0 out of 5 stars	on July 17, 2018
147	Worked as expected and no complaints	Worked as described and good package price	5.0 out of 5 stars	on July 17, 2018
148	Exactly what I needed.	Quick to receive and affordable.	5.0 out of 5 stars	on July 16, 2018
149	Five Stars	Good price, fast delivery.	5.0 out of 5 stars	on July 16, 2018
150	Five Stars	These filters work great with my furnace/air conditioner, catching dust/pet hair very effectively	5.0 out of 5 stars	on July 14, 2018
151	I love that I can have these on subscribe and save and never be without them	work perfectly and I love that I have these on subscribe and save. I feel like every time I needed one before I never had them in my house. Thanks Amazon!	5.0 out of 5 stars	on July 14, 2018
152	Filters	Great product	5.0 out of 5 stars	on July 13, 2018
153	Great upgrade for you current filters	Excellent filters.  They are not washable but they do the job.	5.0 out of 5 stars	on July 13, 2018
154	Five Stars	just what i wanted  perfect	5.0 out of 5 stars	on July 12, 2018
155	Good price great filters	Good price	5.0 out of 5 stars	on July 12, 2018
156	Five Stars	They work.	5.0 out of 5 stars	on July 12, 2018
157	Good and affordable	These are a good basic air filter option that are affordable.	3.0 out of 5 stars	on July 12, 2018
158	Quick delivery	Great	5.0 out of 5 stars	on July 11, 2018
159	Best price I could find	Filters work perfectly	5.0 out of 5 stars	on July 11, 2018
160	Good for price	These are NOT high efficiency but good for the price	5.0 out of 5 stars	on July 10, 2018
161	Two Stars	My falt, I ordered the wrong size, but they are still useable!	2.0 out of 5 stars	on July 9, 2018
162	Quantity is perfect..	Perfect, needed them and received them asap!	5.0 out of 5 stars	on July 8, 2018
163	My impulse not the fault of the product. I ...	My impulse  not the fault of the product. I would have preferred a higher quality filter for a window that I want filtered air from...	3.0 out of 5 stars	on July 8, 2018
164	Five Stars	Good priced and sized!!	5.0 out of 5 stars	on July 8, 2018
165	Nice air filter	Nice air filter.	5.0 out of 5 stars	on July 8, 2018
166	Quality and Economical	Great seems to be working well, I will purchase them again	4.0 out of 5 stars	on July 8, 2018
167	Flimsy construction not suitable for modern HVAC.	These are cheaply made.  Two days of use and the first one started whistling.  I switched to another one and it whistles too.  These filters are not sturdy enough for a new HVAC.  The frame is thin cardboard with a triangle cross-section and the metal mesh is too flimsy to keep the "pleated" filter media flat.  The old 3M filters were sturdy, but I no longer a trust the 3M brand.  I'll be looking for something else.These filters are better than merv 1 fiberglass filters, trapping more dust and some allergens.  They might be adequate in an old HVAC or furnace.	2.0 out of 5 stars	on July 7, 2018
168	Five Stars	good product, 90 days life is good idea	5.0 out of 5 stars	on July 7, 2018
169	Five Stars	Quality product as listed in description	5.0 out of 5 stars	on July 7, 2018
170	They work great	It does what I need it to do.  I change it out every other month and it works great.  I buy it once and I don't have to worry about filters for a year.  I have had no problems with the filters.  I have been using them for over three years.	5.0 out of 5 stars	on July 6, 2018
171	Don't fit	These filters are too large. They do not fit correctly. I get filters from any other manufacturer and they fit fine.	1.0 out of 5 stars	on July 6, 2018
172	Fast Shipping!	Get price and quick delivery!	5.0 out of 5 stars	on July 5, 2018
173	Five Stars	great for the price.	5.0 out of 5 stars	on July 5, 2018
174	Good product	Great basic product, works as expected!	5.0 out of 5 stars	on July 5, 2018
175	Crushed	Finally received the correct item I ordered. Sadley one of the filter was crushed on one end. Only keeping cause I want to be done with this order and don't want to bother myself with another return.	3.0 out of 5 stars	on July 5, 2018
176	Five Stars	Great item, great price.	5.0 out of 5 stars	on July 4, 2018
177	Five Stars	Great item, great price.	5.0 out of 5 stars	on July 4, 2018
178	Five Stars	These are Great Filters, especially for a dusty environment!	5.0 out of 5 stars	on July 3, 2018
179	Two Stars	they came damaged bent on the end	2.0 out of 5 stars	on July 3, 2018
180	Five Stars	Get the job done.	5.0 out of 5 stars	on July 2, 2018
181	Awesome filters!	Filters came in in perfect shape. The filters are great quality. You cannot beat this price.	5.0 out of 5 stars	on July 2, 2018
182	One Star	not a good quality. Too thick to slide in	1.0 out of 5 stars	on July 2, 2018
183	Great Item	Just as described.	5.0 out of 5 stars	on July 1, 2018
184	It's an air filter	It's an air filter. Does what we need.	5.0 out of 5 stars	on June 30, 2018
185	Five Stars	Great deal!!	5.0 out of 5 stars	on June 29, 2018
186	Good price	Can't beat this deal!	5.0 out of 5 stars	on June 29, 2018
187	Good to size	The price is great. A perfect fit.	4.0 out of 5 stars	on June 29, 2018
188	Five Stars	Great quality. Well worth the price.	5.0 out of 5 stars	on June 29, 2018
189	Five Stars	Fits very well	5.0 out of 5 stars	on June 29, 2018
190	Awesome	Great filters	5.0 out of 5 stars	on June 28, 2018
191	Five Stars	Great filter, great price!	5.0 out of 5 stars	on June 28, 2018
192	Four Stars	Item as described	4.0 out of 5 stars	on June 28, 2018
193	Works  well	Works well	5.0 out of 5 stars	on June 26, 2018
194	Four Stars	Product is exactly as advertised.	4.0 out of 5 stars	on June 26, 2018
195	Good value	Good filters at a great price.  Way cheaper than buying at Lowe’s.	5.0 out of 5 stars	on June 25, 2018
196	Three Stars	Average.  Can buy in store for cheaper	3.0 out of 5 stars	on June 25, 2018
197	Best buy for the money.	They work really good.	5.0 out of 5 stars	on June 24, 2018
198	Great.	They do the trick.	5.0 out of 5 stars	on June 24, 2018
199	Five Stars	Works great!! As described!!	5.0 out of 5 stars	on June 24, 2018
200	Perfect!	Perfect for my office!	5.0 out of 5 stars	on June 24, 2018
201	Good airflow	They work just right for our needs. They don't restrict airflow like some of the allergy ones. I like the amount I get so I don't have to run to the store just for 1 filter at a time and good price	5.0 out of 5 stars	on June 24, 2018
202	cheesy.	Flimsy and cheap. I got the wrong size (my fault) but just threw them out. Once in a while I should just admit I screwed up and take the hit. But man, were these cheezy.	1.0 out of 5 stars	on June 24, 2018
203	Five Stars	Probably the best on the market for the price. I have 4 dogs, so I change filters weekly.	5.0 out of 5 stars	on June 24, 2018
204	Cost Effective Filters	Arrived as expected, packaged well.	5.0 out of 5 stars	on June 24, 2018
205	Five Stars	Good filters at a good price.	5.0 out of 5 stars	on June 22, 2018
206	Five Stars	good filter	5.0 out of 5 stars	on June 20, 2018
207	Great quality	Product just as listed.	5.0 out of 5 stars	on June 20, 2018
208	Five Stars	Great deal	5.0 out of 5 stars	on June 20, 2018
209	Five Stars	Excellent price.	5.0 out of 5 stars	on June 20, 2018
210	Works as advertised	So far so good. No complaints on using this product. I plan on ordering more refills.	5.0 out of 5 stars	on June 19, 2018
211	Five Stars	very good	5.0 out of 5 stars	on June 19, 2018
212	Size is not as indicated!	These are horrible!!!  The size is not accurate and does not fit my ac unit. They are about a quarter of an inch wider than indicated which is just enough to prevent it from fitting. They are also very flimsy. What a waste of money since I can’t even use them.	1.0 out of 5 stars	on June 19, 2018
213	Five Stars	great but bought wrong size	5.0 out of 5 stars	on June 18, 2018
214	Five Stars	Great price and works as advertised.	5.0 out of 5 stars	on June 15, 2018
215	Five Stars	Buy a dozen. Then the shipping box will be full	5.0 out of 5 stars	on June 15, 2018
216	Five Stars	as described	5.0 out of 5 stars	on June 15, 2018
217	Cardboard around filter is to big	The cardboard around the filter is a tad big and barely fit...I had to kinda shove it in...cheap, fast delivery, but when I finish the 6-pack I bought I probably won't order these...I know my unit is 12x20x1 so I didn't buy the wrong size...if they cardboard was smaller it would fit perfectly	2.0 out of 5 stars	on June 14, 2018
218	It's a filter. It filters air. And... so forth?	It's a filter. It filters air. It does that.	5.0 out of 5 stars	on June 14, 2018
219	Efficient Furnace Filters	Since we have a Bryant propane fired furnace/heat pump/air conditioner; the installer, My Plumber, strongly recommended replacing this filter each month. We are very satisfied with these filters.Sincerely,Bill Warnock	5.0 out of 5 stars	on June 14, 2018
220	<U+0001F44D>	Great price	5.0 out of 5 stars	on June 13, 2018
221	Buy six and mark your calendar!	Great filters at a great price. I selected a 6 pack to save money and have already marked our calendar in the kitchen when we need to replace them. The A/C intake immediately stopped making that whistling sound which means we definitely left it longer than recommended.	5.0 out of 5 stars	on June 13, 2018
222	Cheap but they work and provide great airflow	You'll read a bunch of reviews that say these filters don't have the best construction, and they're right.  But it is good enough and as long as you don't allow them to become caked with gunk they should be just fine.  I change mine once a month and don't allow them to get real dirty and they work like a champ.  The lower rating is actually a plus for me.  It provides better airflow through the system and is able to capture the stuff that would truly harm my AC unit.Will I be buying these again.  Yes, I will.	5.0 out of 5 stars	on June 12, 2018
223	I was using cheaper filters before and I thin these will do a better job.	The filters seem to be doing well.  I was using cheaper filters before and I thin these will do a better job.	5.0 out of 5 stars	on June 12, 2018
224	Five Stars	Very pleased with the product & price.	5.0 out of 5 stars	on June 12, 2018
225	Five Stars	Works great.	5.0 out of 5 stars	on June 11, 2018
226	Great filters, great price.	Normal filters, I change them every 3 months. Much cheaper than any brink-and-mortor stores around here.	5.0 out of 5 stars	on June 11, 2018
227	Four Stars	nice filters	4.0 out of 5 stars	on June 11, 2018
228	Five Stars	Excellent & packed well. Good price & fast shipping.	5.0 out of 5 stars	on June 11, 2018
229	One Star	Buyer beware! These are larger than the 14x14x1 size and do not fit	1.0 out of 5 stars	on June 9, 2018
230	These fit too tight. The ones from the hardware ...	These fit too tight.  The ones from the hardware store fit right in.  I can get these in after some fighting with it, while trying not to bend and ruin the cardboard frame.	3.0 out of 5 stars	on June 8, 2018
231	Five Stars	Great product at a great price.	5.0 out of 5 stars	on June 8, 2018
232	Four Stars	good stuff	4.0 out of 5 stars	on June 8, 2018
233	Excellent quality and value	My order arrived on time with no damage and it's a perfect fit, now I can breathe fresh air again, thanx...	5.0 out of 5 stars	on June 7, 2018
234	Five Stars	They were perfect for the job	5.0 out of 5 stars	on June 6, 2018
235	Four Stars	Good fit. Good filter media. Prompt shipping. Good price.	4.0 out of 5 stars	on June 6, 2018
236	Good product	This is a good product	5.0 out of 5 stars	on June 5, 2018
237	Filters not manufactured to spec	These are 1/8 to 1/4 inch too big on two sides. They are also too think. Long story short, they don’t fit without mangling the filter into position. I am definitely going to ask for a refund	1.0 out of 5 stars	on June 5, 2018
238	Five Stars	Works great fits well and does the job	5.0 out of 5 stars	on June 5, 2018
239	Five Stars	Work good. Catch lots of dust<U+0001F601>	5.0 out of 5 stars	on June 5, 2018
240	good price.	Arrive on time, good price.	4.0 out of 5 stars	on June 5, 2018
241	Five Stars	good	5.0 out of 5 stars	on June 5, 2018
242	As expected	As expected	5.0 out of 5 stars	on June 4, 2018
243	Five Stars	Great price! Hard to find size!	5.0 out of 5 stars	on June 4, 2018
244	Five Stars	Arrived on time and works great!	5.0 out of 5 stars	on June 4, 2018
245	Five Stars	Very nice	5.0 out of 5 stars	on June 4, 2018
246	Five Stars	Good value	5.0 out of 5 stars	on June 3, 2018
247	Five Stars	the filtrete filters worked great  perect fit  shipping was excelent	5.0 out of 5 stars	on June 2, 2018
248	Four Stars	Good filter, better price.	4.0 out of 5 stars	on June 2, 2018
249	Five Stars	Perfect. Hard to find this size	5.0 out of 5 stars	on June 1, 2018
250	Check the size, I received the wrong size TWICE	Two time in a row I've tried to order the 10x20x1 size and both times I've received the wrong size (once 10x24x1 the second was 12x24x1) which won't fit.  I'll have to send this back again and get another refund, hopefully if others order this they will have better luck.	1.0 out of 5 stars	on June 1, 2018
251	misleading labeling -- doesn't fit in my HVAC unit	I ordered this size based on the measurements listed on the filter already in the HVAC. What I now know $33 later is that actual size varies, and is written in tiny print on the filters (and nowhere in the Amazon product description). The actual size of these filters is 15 11/16 inches by 24 11/16 inches by 13/16 inches. Apparently this is larger than the actual size of most 16x25x1 filters, so they do not fit in my HVAC unit.	1.0 out of 5 stars	on May 31, 2018
252	Four Stars	They look great, but now I know to buy one that collects more dust.	4.0 out of 5 stars	on May 31, 2018
253	Five Stars	As described.	5.0 out of 5 stars	on May 30, 2018
254	Five Stars	nice	5.0 out of 5 stars	on May 30, 2018
